medium	description	compound	name
H10_minimal_mannose	M9 minimal medium (anaerobic)	cobalt2	Co2+
H10_minimal_mannose	M9 minimal medium (anaerobic)	cu2	Cu2+
H10_minimal_mannose	M9 minimal medium (anaerobic)	fe2	Fe2+
H10_minimal_mannose	M9 minimal medium (anaerobic)	fe3	Fe3+
H10_minimal_mannose	M9 minimal medium (anaerobic)	h2o	H2O
H10_minimal_mannose	M9 minimal medium (anaerobic)	h	H+
H10_minimal_mannose	M9 minimal medium (anaerobic)	k	K+
H10_minimal_mannose	M9 minimal medium (anaerobic)	mg2	Mg
H10_minimal_mannose	M9 minimal medium (anaerobic)	mn2	Mn2+
H10_minimal_mannose	M9 minimal medium (anaerobic)	mobd	Molybdate
H10_minimal_mannose	M9 minimal medium (anaerobic)	na1	Na+
H10_minimal_mannose	M9 minimal medium (anaerobic)	ni2	Ni2+
H10_minimal_mannose	M9 minimal medium (anaerobic)	pi	Phosphate
H10_minimal_mannose	M9 minimal medium (anaerobic)	zn2	Zn2+
H10_defined_medium_cellobiose	CM3	k	Potassium
H10_defined_medium_cellobiose	CM3	pi	Phosphate
H10_defined_medium_cellobiose	CM3	nh4	Ammonium
H10_defined_medium_cellobiose	CM3	so4	Sulfate
H10_defined_medium_cellobiose	CM3	mg2	Magnesium
H10_defined_medium_cellobiose	CM3	ca2	Calcium
H10_defined_medium_cellobiose	CM3	fe2	Fe 2+
H10_defined_medium_cellobiose	CM3	na1	Sodium
H10_defined_medium_cellobiose	Oligoelemnts solution	zn2	Zinc
H10_defined_medium_cellobiose	Oligoelemnts solution	mn2	Manganese
H10_defined_medium_cellobiose	Oligoelemnts solution	cu2	Copper
H10_defined_medium_cellobiose	Oligoelemnts solution	slnt	Selenite
H10_defined_medium_cellobiose	Oligoelemnts solution	ni2	Nickel
H10_defined_medium_cellobiose	Oligoelemnts solution	mobd	Molybdate
H10_defined_medium_cellobiose	Vitamins solution	btn	Biotin
H10_defined_medium_cellobiose	Vitamins solution	4abz	4-aminobenzoate
H10_defined_medium_cellobiose	Vitamins solution	nac	Nicotinate
H10_defined_medium_cellobiose	Vitamins solution	ribflv	Riboflavin
H10_defined_medium_cellobiose	Vitamins solution	pnto__R	Pantothenate
H10_defined_medium_cellobiose	Vitamins solution	thm	Thiamin
H10_defined_medium_cellobiose	Vitamins solution	cbl1	Cobalamin
H10_defined_medium_cellobiose	Sugar addition	cellb	Cellobiose
H10_defined_medium_cellobiose	M9 minimal medium (anaerobic)	cl	Cl-
H10_defined_medium_cellobiose	M9 minimal medium (anaerobic)	cobalt2	Co2+
H10_defined_medium_cellobiose	M9 minimal medium (anaerobic)	fe3	Fe3+
H10_defined_medium_cellobiose	M9 minimal medium (anaerobic)	h2o	H2O
H10_defined_medium_cellobiose	M9 minimal medium (anaerobic)	h	H+
H10_basal_medium_xylan	No defined media	k	Potassium
H10_basal_medium_xylan	No defined media	pi	Phosphate
H10_basal_medium_xylan	No defined media	nh4	Ammonium
H10_basal_medium_xylan	No defined media	so4	Sulfate
H10_basal_medium_xylan	No defined media	mg2	Magnesium
H10_basal_medium_xylan	No defined media	ca2	calsium
H10_basal_medium_xylan	No defined media	cl	Cloride
H10_basal_medium_xylan	No defined media	fe2	Fe2+
H10_basal_medium_xylan	No defined media	cys__L	Cysteine
H10_basal_medium_xylan	Xylan composition	xyl__D	Xylose_D
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	adn	Adenosine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	ala__L	L-Alanine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	amp	AMP
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	arg__L	L-Arginine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	aso3	Arsenite 
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	asp__L	L-Aspartate
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	cbl1	Vitamin B12
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	cd2	Cadmium 
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	cmp	CMP
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	cobalt2	Co2+
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	cro4	Chromate 
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	cu2	Cu2+
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	dad_2	Deoxyadenosine 
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	dcyt	Deoxycytidine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	fe3	Fe3+
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	fol	Folate
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	glu__L	L-Glutamate
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	gly	Glycine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	gmp	GMP
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	gsn	Guanosine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	h2o	H2O
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	h2s	Hydrogen sulfide
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	h	H+
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	hg2	Hg2+ 
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	his__L	L-Histidine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	hxan	Hypoxanthine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	ile__L	L-Isoleucine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	ins	Inosine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	leu__L	L-Leucine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	lipoate	Lipoate
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	lys__L	L-Lysine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	met__L	L-Methionine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	mn2	Mn2+
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	mobd	Molybdate
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	na1	Na+
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	nac	Isonicotinic acid
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	ni2	Ni2+
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	phe__L	L-Phenylalanine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	pheme	Protoheme
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	pnto__R	PAN
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	pro__L	L-Proline
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	pydx	Pyridoxal
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	ribflv	Riboflavin
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	ser__L	L-Serine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	thm	Thiamin
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	thr__L	L-Threonine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	thymd	Thymidine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	trp__L	L-Tryptophan
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	tyr__L	L-Tyrosine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	ump	UMP
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	ura	Uracil
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	uri	Uridine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	val__L	L-Valine
H10_basal_medium_xylan	Lysogeny broth (anaerobic)	zn2	Zn2+
H10_defined_medium_cellulose	CM3	k	Potassium
H10_defined_medium_cellulose	CM3	pi	Phosphate
H10_defined_medium_cellulose	CM3	nh4	Ammonium
H10_defined_medium_cellulose	CM3	so4	Sulfate
H10_defined_medium_cellulose	CM3	mg2	Magnesium
H10_defined_medium_cellulose	CM3	ca2	Calcium
H10_defined_medium_cellulose	CM3	fe2	Fe 2+
H10_defined_medium_cellulose	CM3	na1	Sodium
H10_defined_medium_cellulose	Oligoelemnts solution	zn2	Zinc
H10_defined_medium_cellulose	Oligoelemnts solution	mn2	Manganese
H10_defined_medium_cellulose	Oligoelemnts solution	cu2	Copper
H10_defined_medium_cellulose	Oligoelemnts solution	slnt	Selenite
H10_defined_medium_cellulose	Oligoelemnts solution	ni2	Nickel
H10_defined_medium_cellulose	Oligoelemnts solution	mobd	Molybdate
H10_defined_medium_cellulose	Vitamins solution	btn	Biotin
H10_defined_medium_cellulose	Vitamins solution	4abz	4-aminobenzoate
H10_defined_medium_cellulose	Vitamins solution	nac	Nicotinate
H10_defined_medium_cellulose	Vitamins solution	ribflv	Riboflavin
H10_defined_medium_cellulose	Vitamins solution	pnto__R	Pantothenate
H10_defined_medium_cellulose	Vitamins solution	thm	Thiamin
H10_defined_medium_cellulose	Vitamins solution	cbl1	Cobalamin
H10_defined_medium_cellulose	Cellulose composition	glc__D	Glucose_D
H10_defined_medium_cellulose	Cellulose composition	cellb	Cellobiose
H10_defined_medium_cellulose	M9 minimal medium (anaerobic)	cl	Cl-
H10_defined_medium_cellulose	M9 minimal medium (anaerobic)	cobalt2	Co2+
H10_defined_medium_cellulose	M9 minimal medium (anaerobic)	fe3	Fe3+
H10_defined_medium_cellulose	M9 minimal medium (anaerobic)	h2o	H2O
H10_defined_medium_cellulose	M9 minimal medium (anaerobic)	h	H+
H10_defined_medium_xyloglucan	Basic medium	cys__L	Cysteine
H10_defined_medium_xyloglucan	Mineral solution	nh4	Ammonium
H10_defined_medium_xyloglucan	Mineral solution	so4	Sulfate
H10_defined_medium_xyloglucan	Vitamins solution	btn	Biotin
H10_defined_medium_xyloglucan	Vitamins solution	4abz	4-aminobenzoate
H10_defined_medium_xyloglucan	Vitamins solution	nac	Nicotinate
H10_defined_medium_xyloglucan	Vitamins solution	ribflv	Riboflavin
H10_defined_medium_xyloglucan	Oligoelemnts solution	no3	Nitrate
H10_defined_medium_xyloglucan	Oligoelemnts solution	slnt	Selenite
H10_defined_medium_xyloglucan	Xyloglucan (tamarind) composition	glc__D	Glucose_D
H10_defined_medium_xyloglucan	Xyloglucan (tamarind) composition	cellb	Cellobiose
H10_defined_medium_xyloglucan	Xyloglucan (tamarind) composition	gal__L	Galactose_L
H10_defined_medium_xyloglucan	Xyloglucan (tamarind) composition	gal	Galactose D
H10_defined_medium_xyloglucan	Xyloglucan (tamarind) composition	xyl__D	Xylose_D
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	ca2	Ca2+
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	cl	Cl-
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	cobalt2	Co2+
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	cu2	Cu2+
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	fe2	Fe2+
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	fe3	Fe3+
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	h2o	H2O
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	h	H+
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	k	K+
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	mg2	Mg
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	mn2	Mn2+
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	mobd	Molybdate
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	na1	Na+
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	ni2	Ni2+
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	pi	Phosphate
H10_defined_medium_xyloglucan	M9 minimal medium (anaerobic)	zn2	Zn2+
H10_minimal_galactose	Basic medium	cys__L	Cysteine
H10_minimal_galactose	Mineral solution	nh4	Ammonium
H10_minimal_galactose	Mineral solution	so4	Sulfate
H10_minimal_galactose	Vitamins solution	btn	Biotin
H10_minimal_galactose	Vitamins solution	4abz	4-aminobenzoate
H10_minimal_galactose	Vitamins solution	nac	Nicotinate
H10_minimal_galactose	Vitamins solution	ribflv	Riboflavin
H10_minimal_galactose	Oligoelemnts solution	no3	Nitrate
H10_minimal_galactose	Oligoelemnts solution	slnt	Selenite
H10_minimal_galactose	Sugar addition	gal__L	Galactose_L
H10_minimal_galactose	Sugar addition	gal	Galactose_L
H10_minimal_galactose	M9 minimal medium (anaerobic)	ca2	Ca2+
H10_minimal_galactose	M9 minimal medium (anaerobic)	cl	Cl-
H10_minimal_galactose	M9 minimal medium (anaerobic)	cobalt2	Co2+
H10_minimal_galactose	M9 minimal medium (anaerobic)	cu2	Cu2+
H10_minimal_galactose	M9 minimal medium (anaerobic)	fe2	Fe2+
H10_minimal_galactose	M9 minimal medium (anaerobic)	fe3	Fe3+
H10_minimal_galactose	M9 minimal medium (anaerobic)	h2o	H2O
H10_minimal_galactose	M9 minimal medium (anaerobic)	h	H+
H10_minimal_galactose	M9 minimal medium (anaerobic)	k	K+
H10_minimal_galactose	M9 minimal medium (anaerobic)	mg2	Mg
H10_minimal_galactose	M9 minimal medium (anaerobic)	mn2	Mn2+
H10_minimal_galactose	M9 minimal medium (anaerobic)	mobd	Molybdate
H10_minimal_galactose	M9 minimal medium (anaerobic)	na1	Na+
H10_minimal_galactose	M9 minimal medium (anaerobic)	ni2	Ni2+
H10_minimal_galactose	M9 minimal medium (anaerobic)	pi	Phosphate
H10_minimal_galactose	M9 minimal medium (anaerobic)	zn2	Zn2+
H10_minimal_arabinose	Basic medium	cys__L	Cysteine
H10_minimal_arabinose	Mineral solution	nh4	Ammonium
H10_minimal_arabinose	Mineral solution	so4	Sulfate
H10_minimal_arabinose	Vitamins solution	btn	Biotin
H10_minimal_arabinose	Vitamins solution	4abz	4-aminobenzoate
H10_minimal_arabinose	Vitamins solution	nac	Nicotinate
H10_minimal_arabinose	Vitamins solution	ribflv	Riboflavin
H10_minimal_arabinose	Oligoelemnts solution	no3	Nitrate
H10_minimal_arabinose	Oligoelemnts solution	slnt	Selenite
H10_minimal_arabinose	Sugar addition	arab__L	Arabinose_L
H10_minimal_arabinose	Sugar addition	arab__D	Arabinose_D
H10_minimal_arabinose	M9 minimal medium (anaerobic)	ca2	Ca2+
H10_minimal_arabinose	M9 minimal medium (anaerobic)	cl	Cl-
H10_minimal_arabinose	M9 minimal medium (anaerobic)	cobalt2	Co2+
H10_minimal_arabinose	M9 minimal medium (anaerobic)	cu2	Cu2+
H10_minimal_arabinose	M9 minimal medium (anaerobic)	fe2	Fe2+
H10_minimal_arabinose	M9 minimal medium (anaerobic)	fe3	Fe3+
H10_minimal_arabinose	M9 minimal medium (anaerobic)	h2o	H2O
H10_minimal_arabinose	M9 minimal medium (anaerobic)	h	H+
H10_minimal_arabinose	M9 minimal medium (anaerobic)	k	K+
H10_minimal_arabinose	M9 minimal medium (anaerobic)	mg2	Mg
H10_minimal_arabinose	M9 minimal medium (anaerobic)	mn2	Mn2+
H10_minimal_arabinose	M9 minimal medium (anaerobic)	mobd	Molybdate
H10_minimal_arabinose	M9 minimal medium (anaerobic)	na1	Na+
H10_minimal_arabinose	M9 minimal medium (anaerobic)	ni2	Ni2+
H10_minimal_arabinose	M9 minimal medium (anaerobic)	pi	Phosphate
H10_minimal_arabinose	M9 minimal medium (anaerobic)	zn2	Zn2+
H10_minimal_cellobiose	Basic medium	cys__L	Cysteine
H10_minimal_cellobiose	Mineral solution	nh4	Ammonium
H10_minimal_cellobiose	Mineral solution	so4	Sulfate
H10_minimal_cellobiose	Vitamins solution	btn	Biotin
H10_minimal_cellobiose	Vitamins solution	4abz	4-aminobenzoate
H10_minimal_cellobiose	Vitamins solution	nac	Nicotinate
H10_minimal_cellobiose	Vitamins solution	ribflv	Riboflavin
H10_minimal_cellobiose	Oligoelemnts solution	no3	Nitrate
H10_minimal_cellobiose	Oligoelemnts solution	slnt	Selenite
H10_minimal_cellobiose	Sugar addition	cellb	Cellobiose
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	ca2	Ca2+
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	cl	Cl-
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	cobalt2	Co2+
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	cu2	Cu2+
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	fe2	Fe2+
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	fe3	Fe3+
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	h2o	H2O
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	h	H+
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	k	K+
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	mg2	Mg
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	mn2	Mn2+
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	mobd	Molybdate
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	na1	Na+
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	ni2	Ni2+
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	pi	Phosphate
H10_minimal_cellobiose	M9 minimal medium (anaerobic)	zn2	Zn2+
