,0,1,penalty
5,0.19815795371490813,2.8859180072534336,0.40261283236265055
8,0.1853818517052674,2.5995287802867,0.9645047547338624
6,0.15651974315614975,1.7576055103849066,1.4799388322305762
9,0.26095935048852703,4.647832000090576,1.746316454051918
4,0.35384104330751814,7.512437875809416,1.755773531215175
0,0.3793024779511339,8.182298551414803,1.8987630302475984
7,0.23631894074142135,4.154648079422232,2.3411720819010835
1,0.4094440869439261,8.98672057958325,2.463395991369558
3,0.3186547326102724,6.200109592381901,4.747156954613493
2,0.3020434360657973,6.197672859420821,4.783531186898632
