Entry	Gene Names	RefSeq
B8I4D2	fliW Ccel_0098	WP_012634552.1;
B8I4D3	csrA Ccel_0099	WP_012634553.1;
B8I4D4	Ccel_0100	WP_012634554.1;
B8I4D5	Ccel_0101	WP_012634555.1;
B8I4D6	Ccel_0102	WP_012634556.1;
B8I4D9	Ccel_0105	WP_012634559.1;
B8I4G1	leuD Ccel_0127	WP_012634581.1;
B8I4G5	Ccel_0131	WP_012634585.1;
B8I4H2	Ccel_0138	WP_012634592.1;
B8I4H4	uxuA Ccel_0140	WP_012634594.1;
B8I4H5	Ccel_0141	WP_012634595.1;
B8I4I8	Ccel_0154	WP_012634608.1;
B8I4J0	tmk Ccel_0156	WP_012634610.1;
B8I4J3	Ccel_0159	WP_012634613.1;
B8I4J7	rsmI Ccel_0163	WP_012634617.1;
B8I4K8	Ccel_0174	WP_012634627.1;
B8I4L1	Ccel_0177	WP_012634630.1;
B8I4L2	hflX Ccel_0178	
B8I4P2	larC Ccel_2204	WP_015925639.1;
B8I4P4	prfB Ccel_2206	
B8I4P9	Ccel_2211	WP_015925646.1;
B8I4R2	Ccel_2224	WP_015925659.1;
B8I4R4	Ccel_2226	WP_015925661.1;
B8I4S7	Ccel_2239	WP_015925673.1;
B8I4S9	Ccel_2241	
B8I4T1	Ccel_2243	WP_015925677.1;
B8I4T4	rnr Ccel_2247	WP_015925680.1;
B8I4T7	Ccel_2250	WP_015925683.1;
B8I4U0	Ccel_2253	WP_015925686.1;
B8I4V5	galT Ccel_2272	WP_015925701.1;
B8I4V8	Ccel_2275	WP_015925704.1;
B8I4W7	Ccel_2284	WP_015925713.1;
B8I4W8	spoIIAB Ccel_2285	WP_015925714.1;
B8I4W9	Ccel_2286	WP_015925715.1;
B8I4X0	whiA Ccel_2287	WP_015925716.1;
B8I4X2	Ccel_2289	WP_015925718.1;
B8I4X3	Ccel_2290	WP_015925719.1;
B8I4Z3	Ccel_2310	
B8I4Z7	Ccel_2315	WP_015925743.1;
B8I512	Ccel_0205	WP_012634657.1;
B8I521	uxaC Ccel_0214	WP_012634666.1;
B8I541	Ccel_0234	WP_012634686.1;
B8I549	dnaX Ccel_0242	WP_012634694.1;
B8I550	Ccel_0243	WP_012634695.1;
B8I551	recR Ccel_0244	WP_012634696.1;
B8I553	Ccel_0246	WP_012634698.1;
B8I555	Ccel_0248	WP_012634700.1;
B8I562	prfA Ccel_0255	WP_012634707.1;
B8I564	Ccel_0257	WP_012634709.1;
B8I569	Ccel_0262	
B8I573	atpB Ccel_0266	WP_012634718.1;
B8I576	atpH Ccel_0269	WP_012634721.1;
B8I578	atpG Ccel_0271	WP_012634723.1;
B8I580	atpC Ccel_0273	WP_012634725.1;
B8I592	argS Ccel_0285	WP_012634737.1;
B8I5B0	Ccel_0303	WP_012634755.1;
B8I5B1	Ccel_0304	WP_012634756.1;
B8I5B3	secE Ccel_0306	WP_012634758.1;
B8I5B4	nusG Ccel_0307	
B8I5B5	rplK Ccel_0308	WP_012634760.1;
B8I5B9	Ccel_2319	WP_015925747.1;
B8I5C0	Ccel_2320	WP_015925748.1;
B8I5C4	Ccel_2324	WP_015925752.1;
B8I5D1	Ccel_2331	WP_015925759.1;
B8I5D7	Ccel_2337	WP_015925765.1;
B8I5E2	Ccel_2342	
B8I5H4	Ccel_2377	WP_015925799.1;
B8I5I0	Ccel_2383	WP_015925805.1;
B8I5I6	Ccel_2389	WP_015925811.1;
B8I5I9	Ccel_2392	WP_015925814.1;
B8I5J2	Ccel_2395	WP_015925817.1;
B8I5J5	Ccel_2401	WP_015925820.1;
B8I5L0	Ccel_2416	WP_015925835.1;
B8I5L1	Ccel_2417	WP_015925836.1;
B8I5L5	Ccel_2421	WP_015925840.1;
B8I5L9	Ccel_2425	WP_015925844.1;
B8I5M4	Ccel_2430	WP_015925849.1;
B8I5M9	rplA Ccel_0309	WP_012634761.1;
B8I5N0	rplJ Ccel_0310	WP_012634762.1;
B8I5N1	rplL Ccel_0311	WP_012634763.1;
B8I5N2	rpoB Ccel_0312	WP_012634764.1;
B8I5N5	rpsL Ccel_0315	WP_012634767.1;
B8I5N6	rpsG Ccel_0316	WP_012634768.1;
B8I5N7	fusA Ccel_0317	WP_012634769.1;
B8I5N8	tuf Ccel_0318	WP_012634770.1;
B8I5P6	mcsB Ccel_0326	WP_012634778.1;
B8I5Q5	Ccel_0336	
B8I5R1	ispD Ccel_0342	
B8I5R3	Ccel_0344	
B8I5R4	proS Ccel_0345	WP_012634795.1;
B8I5R6	Ccel_0347	WP_012634797.1;
B8I5S9	Ccel_0361	WP_012634810.1;
B8I5T2	ku Ccel_0364	WP_012634813.1;
B8I5T3	Ccel_0365	WP_012634814.1;
B8I5T5	Ccel_0367	WP_012634816.1;
B8I5T8	hpf Ccel_0370	WP_012634818.1;
B8I5T9	Ccel_0371	WP_012634819.1;
B8I5U2	Ccel_0374	WP_012634822.1;
B8I5U7	Ccel_0379	WP_012634827.1;
B8I5U8	hisZ Ccel_0380	WP_012634828.1;
B8I5U9	hisG Ccel_0381	WP_012634829.1;
B8I5V1	hisC Ccel_0383	WP_012634831.1;
B8I5V2	hisB Ccel_0384	WP_012634832.1;
B8I5V3	purC Ccel_0385	WP_012634833.1;
B8I5V5	hisA Ccel_0387	WP_012634835.1;
B8I5V9	groES groS Ccel_0391	WP_012634839.1;
B8I5W3	greA Ccel_0395	WP_012634843.1;
B8I5W9	Ccel_0401	WP_012634849.1;
B8I5Y2	Ccel_0415	WP_012634861.1;
B8I5Y3	Ccel_0416	
B8I5Y4	Ccel_0417	WP_012634863.1;
B8I5Z4	Ccel_0428	WP_012634873.1;
B8I5Z5	Ccel_0429	WP_012634874.1;
B8I601	gatA Ccel_2436	WP_015925855.1;
B8I602	gatB Ccel_2437	WP_015925856.1;
B8I606	Ccel_2442	WP_015925860.1;
B8I614	trpB Ccel_2450	WP_015925868.1;
B8I615	Ccel_2451	
B8I626	Ccel_2462	WP_015925880.1;
B8I634	Ccel_2471	WP_015925888.1;
B8I637	Ccel_2474	
B8I651	Ccel_2488	WP_015925905.1;
B8I676	tmk Ccel_2513	WP_015925930.1;
B8I693	Ccel_2530	
B8I696	Ccel_2533	WP_015925950.1;
B8I6B2	Ccel_2549	WP_015925966.1;
B8I6C1	Ccel_2558	WP_015925973.1;
B8I6C2	minC Ccel_2559	WP_015925974.1;
B8I6C8	Ccel_0438	WP_012634882.1;
B8I6D1	Ccel_0441	
B8I6D2	rpsB Ccel_0442	WP_012634886.1;
B8I6D3	tsf Ccel_0443	WP_012634887.1;
B8I6D5	frr Ccel_0445	WP_012634889.1;
B8I6D7	Ccel_0447	WP_012634891.1;
B8I6E0	Ccel_0450	WP_012634894.1;
B8I6E2	polC Ccel_0452	WP_012634896.1;
B8I6E3	rimP Ccel_0453	WP_012634897.1;
B8I6E4	nusA Ccel_0454	WP_012634898.1;
B8I6E7	infB Ccel_0457	
B8I6E8	rbfA Ccel_0458	WP_012634902.1;
B8I6F0	truB Ccel_0460	WP_012634904.1;
B8I6F1	Ccel_0461	WP_012634905.1;
B8I6F2	Ccel_0462	WP_012634906.1;
B8I6G5	mraZ Ccel_0475	WP_012634919.1;
B8I6G6	rsmH mraW Ccel_0476	WP_012634920.1;
B8I6H7	Ccel_0487	
B8I6I2	Ccel_0492	WP_012634936.1;
B8I6L0	Ccel_0520	WP_015924075.1;
B8I6L4	Ccel_0524	WP_015924079.1;
B8I6L9	queA Ccel_0529	WP_015924084.1;
B8I6M6	secD Ccel_0536	WP_015924090.1;
B8I6M7	secF Ccel_0537	WP_015924091.1;
B8I6N1	sigA Ccel_0541	WP_015924095.1;
B8I6N5	Ccel_0545	WP_015924099.1;
B8I6P8	Ccel_2562	WP_015925977.1;
B8I6P9	mreB Ccel_2563	WP_015925978.1;
B8I6Q3	Ccel_2567	WP_015925982.1;
B8I6Q5	Ccel_2569	WP_015925984.1;
B8I6Q7	Ccel_2571	WP_015925986.1;
B8I6R0	asnS Ccel_2574	WP_015925989.1;
B8I6R1	asnA Ccel_2575	WP_015925990.1;
B8I6R2	Ccel_2576	WP_015925991.1;
B8I6R7	Ccel_2581	WP_015925996.1;
B8I6R8	Ccel_2582	WP_015925997.1;
B8I6S1	Ccel_2585	WP_015926000.1;
B8I6S2	Ccel_2586	WP_015926001.1;
B8I6S6	Ccel_2590	WP_015926005.1;
B8I6T0	proA Ccel_2594	WP_015926009.1;
B8I6V5	infC Ccel_2619	WP_015926034.1;
B8I6V7	Ccel_2621	WP_015926035.1;
B8I6Y8	Ccel_2657	WP_015926064.1;
B8I6Y9	Ccel_2658	WP_015926065.1;
B8I6Z6	infC Ccel_2666	WP_015926072.1;
B8I717	Ccel_0559	WP_015924113.1;
B8I718	Ccel_0560	WP_015924114.1;
B8I733	ybeY Ccel_0576	WP_015924129.1;
B8I734	Ccel_0577	WP_015924130.1;
B8I735	Ccel_0578	WP_015924131.1;
B8I738	recO Ccel_0581	WP_015924133.1;
B8I739	Ccel_0582	WP_015924134.1;
B8I747	ychF Ccel_0590	WP_015924140.1;
B8I750	Ccel_0593	WP_015924143.1;
B8I754	sepF Ccel_0597	WP_015924147.1;
B8I758	Ccel_0601	
B8I762	rny Ccel_0605	
B8I764	Ccel_0607	WP_015924157.1;
B8I767	Ccel_0610	WP_015924160.1;
B8I768	pyrR Ccel_0611	WP_015924161.1;
B8I771	pyrF Ccel_0614	WP_015924164.1;
B8I785	Ccel_0628	WP_015924178.1;
B8I7A3	cobT Ccel_0646	WP_015924196.1;
B8I7B7	Ccel_0661	WP_015924210.1;
B8I7C3	Ccel_0667	WP_015924216.1;
B8I7C5	Ccel_0669	WP_015924218.1;
B8I7D1	murJ Ccel_0675	
B8I7D5	Ccel_0679	WP_015924228.1;
B8I7E9	Ccel_2709	WP_015926092.1;
B8I7G5	Ccel_2725	
B8I7G6	Ccel_2726	WP_015926109.1;
B8I7L4	Ccel_2787	WP_015926157.1;
B8I7P1	Ccel_2818	WP_015926183.1;
B8I7Q6	Ccel_0683	WP_015924232.1;
B8I7Q7	Ccel_0684	WP_015924233.1;
B8I7Q8	acpP Ccel_0685	WP_015924234.1;
B8I7Q9	Ccel_0686	WP_015924235.1;
B8I7R3	Ccel_0690	WP_015924238.1;
B8I7S5	Ccel_0703	WP_015924250.1;
B8I7T2	rpsP Ccel_0710	WP_015924257.1;
B8I7T3	khpA Ccel_0711	
B8I7T4	rimM Ccel_0712	WP_015924258.1;
B8I7T5	trmD Ccel_0713	WP_015924259.1;
B8I7T6	rplS Ccel_0714	WP_015924260.1;
B8I7T7	Ccel_0715	WP_015924261.1;
B8I7T8	Ccel_0716	WP_015924262.1;
B8I7U5	Ccel_0723	WP_015924269.1;
B8I7U7	Ccel_0725	WP_015924271.1;
B8I7V4	Ccel_0732	WP_015924278.1;
B8I7V6	Ccel_0734	WP_015924280.1;
B8I7V7	Ccel_0735	WP_015924281.1;
B8I7V8	Ccel_0736	WP_015924282.1;
B8I7V9	Ccel_0737	WP_015924283.1;
B8I7W0	Ccel_0739	
B8I7W1	Ccel_0740	WP_015924285.1;
B8I7W7	Ccel_0746	WP_015924291.1;
B8I7X1	Ccel_0750	WP_015924295.1;
B8I7X8	rpsJ Ccel_0757	WP_004620876.1;
B8I7X9	rplC Ccel_0758	WP_015924301.1;
B8I7Y0	rplD Ccel_0759	WP_015924302.1;
B8I7Y1	rplW Ccel_0760	WP_015924303.1;
B8I7Y2	rplB Ccel_0761	WP_015924304.1;
B8I7Y3	rpsS Ccel_0762	WP_015924305.1;
B8I7Y4	rplV Ccel_0763	WP_015924306.1;
B8I7Y5	rpsC Ccel_0764	WP_015924307.1;
B8I7Y6	rplP Ccel_0765	WP_015924308.1;
B8I7Y7	rpmC Ccel_0766	WP_015924309.1;
B8I7Y8	rpsQ Ccel_0767	WP_015924310.1;
B8I7Y9	rplN Ccel_0768	WP_015924311.1;
B8I7Z0	rplX Ccel_0769	WP_015924312.1;
B8I7Z1	rplE Ccel_0770	WP_015924313.1;
B8I7Z2	rpsZ rpsN Ccel_0771	WP_015924314.1;
B8I7Z3	rpsH Ccel_0772	WP_015924315.1;
B8I7Z4	rplF Ccel_0773	WP_015924316.1;
B8I7Z5	rplR Ccel_0774	WP_015924317.1;
B8I7Z6	rpsE Ccel_0775	WP_015924318.1;
B8I7Z7	rpmD Ccel_0776	WP_014312126.1;
B8I7Z8	rplO Ccel_0777	WP_015924319.1;
B8I7Z9	secY Ccel_0778	
B8I803	infA Ccel_0782	WP_004620820.1;
B8I804	rpmJ Ccel_0783	WP_004620818.1;
B8I805	rpsM Ccel_0784	WP_015924324.1;
B8I806	rpsK Ccel_0785	WP_015924325.1;
B8I807	rpsD Ccel_0786	WP_015924326.1;
B8I809	rplQ Ccel_0788	WP_015924328.1;
B8I812	Ccel_0791	WP_015924331.1;
B8I813	ecfT Ccel_0792	WP_015924332.1;
B8I815	rplM Ccel_0794	WP_015924334.1;
B8I816	rpsI Ccel_0795	WP_015924335.1;
B8I817	mntH Ccel_0796	WP_015924336.1;
B8I820	Ccel_0799	WP_015924339.1;
B8I822	Ccel_0801	WP_015924341.1;
B8I823	Ccel_0802	WP_015924342.1;
B8I835	Ccel_2841	WP_015926206.1;
B8I837	Ccel_2843	
B8I861	Ccel_2867	WP_015926229.1;
B8I871	proB Ccel_2877	WP_015926239.1;
B8I875	Ccel_2881	WP_015926243.1;
B8I876	rex Ccel_2882	WP_015926244.1;
B8I894	hslO Ccel_2900	WP_015926261.1;
B8I8A0	Ccel_2906	WP_015926267.1;
B8I8A1	ftsE Ccel_2907	WP_015926268.1;
B8I8A9	Ccel_2915	WP_015926276.1;
B8I8B2	Ccel_2918	WP_015926279.1;
B8I8B5	Ccel_2921	WP_015926282.1;
B8I8B8	Ccel_2924	WP_015926285.1;
B8I8D6	Ccel_2942	WP_015926303.1;
B8I8F2	uvrC Ccel_0807	WP_015924347.1;
B8I8F5	clpP Ccel_0810	WP_015924350.1;
B8I8F7	Ccel_0812	WP_015924352.1;
B8I8G4	smpB Ccel_0819	WP_015924359.1;
B8I8H8	Ccel_0834	WP_015924371.1;
B8I8J3	Ccel_0854	WP_015924386.1;
B8I8J9	Ccel_0860	WP_015924392.1;
B8I8K0	Ccel_0861	WP_015924393.1;
B8I8M8	potA Ccel_0889	WP_015924421.1;
B8I8N7	engB Ccel_0898	WP_015924430.1;
B8I8Q2	Ccel_0916	
B8I8Q3	Ccel_0917	
B8I8Q5	Ccel_0920	WP_015924445.1;
B8I8R3	Ccel_0930	WP_015924453.1;
B8I8U5	amj Ccel_2983	WP_015926336.1;
B8I8U9	Ccel_2987	WP_015926340.1;
B8I8W4	Ccel_3002	WP_015926355.1;
B8I8W5	Ccel_3003	WP_015926356.1;
B8I8W9	Ccel_3007	WP_015926360.1;
B8I939	Ccel_3079	WP_015926430.1;
B8I940	Ccel_0934	WP_015924457.1;
B8I979	Ccel_0977	WP_015924496.1;
B8I980	Ccel_0978	WP_015924497.1;
B8I983	Ccel_0981	WP_015924500.1;
B8I9A4	Ccel_1002	WP_015924521.1;
B8I9B5	Ccel_1013	WP_015924532.1;
B8I9D8	Ccel_1036	WP_015924554.1;
B8I9F0	Ccel_1050	WP_015924566.1;
B8I9F4	Ccel_1054	WP_015924570.1;
B8I9G0	Ccel_1060	WP_015924576.1;
Q0PRM9	cel9P Ccel_0753	WP_015924298.1;
Q0PRN0	man26A Ccel_0752	WP_015924297.1;
Q0PRN2	gal27A	
Q0PRN4	cel9Q Ccel_0231	WP_012634683.1;
Q0PRN5	xyn10A Ccel_0931	WP_015924454.1;
Q2V4T4		
Q46002	CelCCE	
Q8RLT7	cel5I	
Q9EYQ0	celN	
Q9EYQ1		
Q9EYQ2	celM	
Q9EYQ3	manK	
Q9EYQ4	celJ	
Q9EYQ5	celH	
Q9L338	spo0A	
Q9X709	rub	
A0A1Y0K4H5	cbm4	
B8HZS3	Ccel_1064	WP_015924579.1;
B8HZS4	Ccel_1065	WP_015924580.1;
B8HZS5	Ccel_1066	WP_015924581.1;
B8HZS6	Ccel_1067	WP_015924582.1;
B8HZS7	Ccel_1068	WP_015924583.1;
B8HZS8	Ccel_1069	WP_015924584.1;
B8HZT0	Ccel_1071	WP_015924586.1;
B8HZT1	Ccel_1072	WP_015924587.1;
B8HZT2	Ccel_1073	
B8HZT3	Ccel_1074	WP_015924589.1;
B8HZT4	Ccel_1075	WP_015924590.1;
B8HZT5	Ccel_1076	WP_015924591.1;
B8HZT6	Ccel_1077	WP_015924592.1;
B8HZT7	Ccel_1078	WP_015924593.1;
B8HZT8	Ccel_1079	WP_015924594.1;
B8HZT9	Ccel_1080	WP_015924595.1;
B8HZU0	Ccel_1081	WP_015924596.1;
B8HZU1	Ccel_1082	WP_015924597.1;
B8HZU2	Ccel_1083	WP_015924598.1;
B8HZU4	Ccel_1085	WP_015924600.1;
B8HZU5	Ccel_1086	
B8HZU6	Ccel_1087	
B8HZU7	Ccel_1088	WP_015924603.1;
B8HZU8	Ccel_1089	WP_015924604.1;
B8HZU9	Ccel_1090	WP_015924605.1;
B8HZV2	Ccel_1093	WP_015924608.1;
B8HZV3	Ccel_1094	WP_015924609.1;
B8HZV4	Ccel_1095	WP_015924610.1;
B8HZV5	Ccel_1096	WP_015924611.1;
B8HZV6	Ccel_1097	WP_015924612.1;
B8HZV9	Ccel_1100	WP_015924615.1;
B8HZW1	Ccel_1102	WP_015924617.1;
B8HZW2	Ccel_1103	WP_015924618.1;
B8HZW3	Ccel_1104	WP_015924619.1;
B8HZW4	Ccel_1105	WP_015924620.1;
B8HZW5	Ccel_1106	WP_015924621.1;
B8HZW6	Ccel_1107	
B8HZW7	Ccel_1108	WP_015924623.1;
B8HZW8	Ccel_1109	WP_015924624.1;
B8HZW9	Ccel_1111	WP_015924625.1;
B8HZX1	Ccel_1113	
B8HZX2	Ccel_1114	WP_015924628.1;
B8HZX3	Ccel_1115	WP_015924629.1;
B8HZX4	Ccel_1116	WP_015924630.1;
B8HZX6	Ccel_1118	WP_015924632.1;
B8HZX8	Ccel_1120	
B8HZX9	Ccel_1121	WP_015924635.1;
B8HZY0	Ccel_1122	WP_015924636.1;
B8HZY1	Ccel_1123	WP_015924637.1;
B8HZY2	Ccel_1124	WP_015924638.1;
B8HZY3	Ccel_1125	WP_015924639.1;
B8HZY4	Ccel_1126	WP_015924640.1;
B8HZY5	Ccel_1127	WP_015924641.1;
B8HZY6	Ccel_1128	WP_015924642.1;
B8HZY7	Ccel_1129	WP_015924643.1;
B8HZY8	Ccel_1130	WP_015924644.1;
B8HZY9	Ccel_0650 Ccel_0754 Ccel_1019 Ccel_1132 Ccel_1293 Ccel_1810 Ccel_2160 Ccel_2674 Ccel_2701	WP_015924200.1;
B8HZZ0	Ccel_1133	WP_015924645.1;
B8HZZ1	Ccel_1134	WP_015924646.1;
B8HZZ2	Ccel_1135	WP_015924647.1;
B8HZZ3	Ccel_1136	WP_015924648.1;
B8HZZ4	Ccel_1137	
B8HZZ5	Ccel_1138	
B8HZZ6	Ccel_1139	WP_015924651.1;
B8HZZ8	Ccel_1141	WP_015924653.1;
B8HZZ9	Ccel_1142	WP_015924654.1;
B8I000	Ccel_1143	
B8I001	Ccel_1144	
B8I002	Ccel_1145	
B8I003	Ccel_1146	WP_015924658.1;
B8I007	Ccel_1150	WP_015924662.1;
B8I008	Ccel_1151	WP_015924663.1;
B8I009	Ccel_1152	WP_015924664.1;
B8I011	Ccel_1154	WP_015924666.1;
B8I012	Ccel_1155	WP_015924667.1;
B8I013	Ccel_1156	WP_015924668.1;
B8I016	Ccel_1159	WP_015924671.1;
B8I017	Ccel_1160	WP_015924672.1;
B8I018	Ccel_1161	WP_015924673.1;
B8I019	Ccel_0207 Ccel_0904 Ccel_1162 Ccel_1208 Ccel_1377 Ccel_1574 Ccel_1585 Ccel_1596 Ccel_2155 Ccel_2372	
B8I020	Ccel_0208 Ccel_0905 Ccel_1163 Ccel_1209 Ccel_1378 Ccel_1573 Ccel_1584 Ccel_1595 Ccel_2154 Ccel_2371	
B8I022	Ccel_1165	WP_015924675.1;
B8I023	Ccel_1166	WP_015924676.1;
B8I024	Ccel_1167	WP_015924677.1;
B8I025	Ccel_1168	
B8I026	Ccel_1169	WP_015924679.1;
B8I027	Ccel_1170	WP_015924680.1;
B8I028	Ccel_1171	WP_015924681.1;
B8I029	Ccel_1172	WP_015924682.1;
B8I030	Ccel_1173	WP_015924683.1;
B8I031	Ccel_1174	WP_015924684.1;
B8I032	Ccel_1175	WP_015924685.1;
B8I033	Ccel_1176	WP_015924686.1;
B8I034	Ccel_1177	WP_015924687.1;
B8I035	Ccel_1178	WP_015924688.1;
B8I037	Ccel_1180	WP_015924690.1;
B8I038	Ccel_1181	WP_015924691.1;
B8I039	Ccel_1182	WP_015924692.1;
B8I040	Ccel_1183	WP_015924693.1;
B8I041	Ccel_1184	WP_015924694.1;
B8I042	Ccel_1185	WP_015924695.1;
B8I043	Ccel_1186	WP_015924696.1;
B8I044	Ccel_1187	
B8I045	Ccel_1188	WP_015924698.1;
B8I046	Ccel_3080	WP_015926431.1;
B8I047	Ccel_3081	WP_015926432.1;
B8I048	Ccel_3082	WP_015926433.1;
B8I049	Ccel_3083	WP_015926434.1;
B8I050	Ccel_3084	WP_015926435.1;
B8I051	Ccel_3085	WP_015926436.1;
B8I052	Ccel_3086	WP_015926437.1;
B8I053	Ccel_3087	WP_015926438.1;
B8I054	Ccel_3088	WP_014315278.1;
B8I055	Ccel_3089	WP_015926439.1;
B8I059	Ccel_3093	WP_015926443.1;
B8I060	spoVG Ccel_3094	WP_015926444.1;
B8I061	Ccel_3095	WP_015926445.1;
B8I064	Ccel_3098	WP_015926448.1;
B8I065	Ccel_3099	WP_015926449.1;
B8I066	Ccel_3100	WP_015926450.1;
B8I067	Ccel_3101	WP_015926451.1;
B8I069	Ccel_3103	WP_015926453.1;
B8I070	Ccel_3104	WP_015926454.1;
B8I071	Ccel_3105	WP_015926455.1;
B8I072	Ccel_3106	WP_015926456.1;
B8I073	Ccel_3107	
B8I074	Ccel_3108	
B8I075	Ccel_3109	WP_015926459.1;
B8I076	Ccel_3111	
B8I077	Ccel_3112	
B8I078	Ccel_3113	
B8I079	Ccel_3114	WP_015926463.1;
B8I080	Ccel_3115	WP_015926464.1;
B8I081	Ccel_3116	WP_015926465.1;
B8I082	Ccel_3117	WP_015926466.1;
B8I086	Ccel_3121	
B8I087	Ccel_3122	WP_015926471.1;
B8I088	Ccel_3123	
B8I089	Ccel_3124	WP_015926473.1;
B8I090	Ccel_3125	WP_015926474.1;
B8I091	Ccel_3126	WP_015926475.1;
B8I092	Ccel_3127	WP_015926476.1;
B8I093	Ccel_3128	WP_015926477.1;
B8I094	Ccel_3129	
B8I095	Ccel_3130	WP_015926479.1;
B8I096	Ccel_3131	WP_015926480.1;
B8I097	Ccel_3132	WP_015926481.1;
B8I098	Ccel_3133	WP_015926482.1;
B8I099	Ccel_3134	WP_015926483.1;
B8I0A0	Ccel_3135	
B8I0A1	Ccel_3136	
B8I0A2	Ccel_3137	WP_015926486.1;
B8I0A3	Ccel_3138	WP_015926487.1;
B8I0A4	Ccel_3139	WP_015926488.1;
B8I0A5	Ccel_3140	WP_015926489.1;
B8I0A6	Ccel_3141	WP_015926490.1;
B8I0A7	Ccel_3142	WP_015926491.1;
B8I0A8	Ccel_3143	WP_015926492.1;
B8I0A9	Ccel_3144	WP_015926493.1;
B8I0B0	Ccel_3145	WP_015926494.1;
B8I0B1	Ccel_3146	WP_015926495.1;
B8I0B2	Ccel_3147	
B8I0B3	Ccel_3148	WP_015926497.1;
B8I0B4	Ccel_3149	WP_015926498.1;
B8I0B5	Ccel_3150	WP_015926499.1;
B8I0B6	Ccel_3151	
B8I0B8	Ccel_3153	WP_015926502.1;
B8I0B9	Ccel_3154	WP_015926503.1;
B8I0C0	Ccel_3155	WP_015926504.1;
B8I0C1	Ccel_3156	WP_015926505.1;
B8I0C2	Ccel_3157	WP_015926506.1;
B8I0C3	Ccel_3158	WP_015926507.1;
B8I0C4	Ccel_3159	WP_015926508.1;
B8I0C5	Ccel_3160	WP_015926509.1;
B8I0C6	Ccel_3161	WP_015926510.1;
B8I0C7	Ccel_3162	WP_015926511.1;
B8I0C8	Ccel_3163	WP_015926512.1;
B8I0C9	Ccel_3164	WP_015926513.1;
B8I0D0	Ccel_3165	WP_015926514.1;
B8I0D1	Ccel_3166	
B8I0D2	Ccel_3167	WP_015926516.1;
B8I0D3	Ccel_3168	
B8I0D4	Ccel_3169	
B8I0D5	Ccel_3170	WP_015926519.1;
B8I0D6	Ccel_3171	WP_015926520.1;
B8I0D7	Ccel_3172	WP_015926521.1;
B8I0D8	Ccel_3173	WP_015926522.1;
B8I0D9	Ccel_3174	WP_015926523.1;
B8I0E0	Ccel_3175	WP_015926524.1;
B8I0E1	Ccel_3176	
B8I0E2	Ccel_3177	WP_015926526.1;
B8I0E3	Ccel_3178	WP_015926527.1;
B8I0E4	Ccel_3180	
B8I0E5	Ccel_3181	WP_015926529.1;
B8I0E6	Ccel_3182	WP_015926530.1;
B8I0E8	Ccel_3184	WP_015926532.1;
B8I0E9	Ccel_3185	WP_015926533.1;
B8I0F1	Ccel_3187	
B8I0F2	Ccel_3188	WP_015926536.1;
B8I0F3	Ccel_3189	WP_015926537.1;
B8I0F4	Ccel_3190	WP_015926538.1;
B8I0F5	Ccel_3191	WP_015926539.1;
B8I0F6	Ccel_3192	
B8I0F7	Ccel_3193	WP_015926541.1;
B8I0F8	Ccel_3194	
B8I0F9	Ccel_3195	WP_015926543.1;
B8I0G0	Ccel_3196	WP_015926544.1;
B8I0G1	Ccel_3197	WP_015926545.1;
B8I0G3	Ccel_3199	WP_015926547.1;
B8I0G4	Ccel_3200	WP_015926548.1;
B8I0G5	Ccel_3201	WP_015926549.1;
B8I0G6	Ccel_3202	WP_015926550.1;
B8I0G7	Ccel_3203	WP_015926551.1;
B8I0G8	Ccel_3204	WP_015926552.1;
B8I0H0	Ccel_3206	WP_015926554.1;
B8I0H2	Ccel_1190	WP_015924700.1;
B8I0H3	Ccel_1191	WP_015924701.1;
B8I0H4	Ccel_1192	WP_015924702.1;
B8I0H5	Ccel_1193	WP_015924703.1;
B8I0H6	Ccel_1194	
B8I0H7	Ccel_1195	WP_014314371.1;
B8I0H8	Ccel_1196	WP_015924705.1;
B8I0H9	Ccel_1197	WP_015924706.1;
B8I0I0	Ccel_1198	WP_015924707.1;
B8I0I4	Ccel_1202	WP_015924711.1;
B8I0I5	Ccel_1203	WP_015924712.1;
B8I0I8	Ccel_1206	
B8I0J2	Ccel_1210	WP_015924717.1;
B8I0J3	Ccel_1211	WP_015924718.1;
B8I0J4	Ccel_1212	WP_015924719.1;
B8I0J5	Ccel_1213	WP_015924720.1;
B8I0J6	Ccel_1214	WP_015924721.1;
B8I0J7	Ccel_1215	WP_015924722.1;
B8I0J8	Ccel_1216	WP_015924723.1;
B8I0J9	Ccel_1217	WP_015924724.1;
B8I0K1	Ccel_0220 Ccel_0338 Ccel_0409 Ccel_0586 Ccel_0589 Ccel_0823 Ccel_0919 Ccel_1220 Ccel_1400 Ccel_1479 Ccel_1821 Ccel_1832 Ccel_1838 Ccel_1850 Ccel_2551 Ccel_2553 Ccel_2676 Ccel_2685 Ccel_2690 Ccel_2693 Ccel_2708 Ccel_2889 Ccel_2961 Ccel_2972 Ccel_2977	
B8I0K3	Ccel_1222	WP_015924727.1;
B8I0K4	Ccel_1223	WP_015924728.1;
B8I0K5	Ccel_1224	
B8I0K6	Ccel_1225	WP_015924730.1;
B8I0K7	Ccel_1226	WP_015924731.1;
B8I0M4	Ccel_1243	WP_015924748.1;
B8I0M5	Ccel_1244	
B8I0M6	Ccel_1245	WP_015924750.1;
